location,present_name,borough,name,desc
At 830 Washington Avenue,Washington Avenue,Bronx,"P.O. Ronald G. Becker, Jr. Way"," Ronald Becker (1958-2012)  served in the United States Navy and with the New York City Police Department for 20 years.  He was assigned to the 42nd Precinct in the Bronx and made more than 50 arrests and was recognized once for Excellent Police Duty and once for Meritorious Police Duty.  He died from illnesses he contracted after inhaling toxic materials as he participated in the rescue and recovery efforts at the World Trade Center site following the terrorist attacks on September 11, 2001. (Gibson)"
Existing playground located at the NE corner of Morrison Ave and Watson Ave,None,Bronx,Parque De Los Ninos," This playground honors six young people all of whom died between 1986 and 1990 ""at the hands of a convicted killer.""   Annette Rosario, a senior at   Herbert H. Lehman H.S.; Shamira Bello, an eighth grader at P.S. 162; Heriberto Marrero, a seventh grader at JHS 123; Nilda Cartagena, a seventh grader at JHS 123; Lisa Rodriguez, a student at Lehman College; and Jessica Guzman,a fifth grader at St. John Vianney School.  "
Bruckner Boulevard and Southern Boulevard,Longwood Avenue,Bronx,Peace Officers Memorial Lane, Honors all police officers who have died in the line of duty while serving with the 41st Precinct. (RGPR)
Intersection of Matthews Avenue and Astor Avenue,None,Bronx,Peggy Braverman Way, Peggy Braverman (1921-2011) was the Deputy County Clerk for the Bronx from 1985 to 1999 and was active in the Pelham Parkway Community for more than four decades. 
Existing playground at Waterbury Avenue and LaSalle Avenue,None,Bronx,Phyllis Bufano Playground," Phyllis Bufano, a teacher at P.S. 71,  dedicated much of her life to improving her community.  She was a founding member of the Waterbury-LaSalle Community Organization and served as its president for 6 years.  As a parent, she was active in the P.S. 71 PTA, Little League, and a girls softball league.  She was also a long-time member of Community Board 10 and chair of its Parks Committee.  Ms. Bufano died in May 1992 after a long illness.  She was 45.  "
Park at northeast corner of Kappock St and Henry Hudson Parkway.,None,Bronx,Phyllis Post Goodman Park," Phyllis Goodman (1932-1995), a teacher and the mother of two daughters, served on her local Community Board for over 25 year and was instrumental in preserving, for educational use, the land that is now the site of John F. Kennedy High School and P.S. 37.   She was active with Bronx Court Monitors, helped with Braille transcription at the Lighthouse.  She was also active in support organizations for women with cancer, to which she herself succumbed in 1995.  "
At the intersection of Davidson Avenue and West Kingsbridge Road,None,Bronx,Phyllis Yvonne Reed Plaza," Phyllis Yvonne Reed (1943-2009) was a longtime Bronx activist who founded one of the first black-owned advertising agencies, Dalmatian Enterprises Inc.,"
Between Willis Avenue and Brook Avenue,East 142nd Street,Bronx,Piccirilli Place," The Piccirilli family, parents, six sons and a daughter, immigrated from Tuscany in 1888 and  by 1893 had established a home and sculpture studio at 467 E. 142nd Street.  Original Piccirilli sculptures include The Maine Monument at Columbus Circle and the Fireman’s Memorial on Riverside Drive.  They also carved the Library Lions at 42nd St. and the statue of Abraham Lincoln at the Lincoln Memorial.  The studio closed in 1945, the year three of the brothers died. "
Area of the street west of Keltch Memorial Park from Macombs Road to Marcy Place,Jerome Avenue,Bronx,Plaza Drive," Named for the  Plaza Packaging Corp., manufacturers of packaging for the fragrance, cosmetic, and health and beauty industries.  At the time of this 1992 naming the company had recently expanded by more than 60,000 SF, demonstrating its long term commitment to the Bronx where more than 80% of its employees lived."
The sign pointing west on Allerton Avenue,Northwest corner of Allerton and Bronxwood Avenues,Bronx,PO John D’ Allara 9/11 Memorial Way," Police Officer John D’ Allara (1954-2001) was appointed to the NYPD in 1983, joined the ESU in 1987.  He was killed in the terrorist attack on the World Trade Center on September 11, 2001."
Intersection of Arthur Avenue and East 186th Street,None,Bronx,Police Officer Anthony DiGiovanna Way," Anthony DiGiovanna (1965-2011) was a volunteer responder on 9/11 and worked the following 4 months in recovery efforts at Ground Zero.  He was diagnosed with cancer in 2002, but returned to the 48th Precinct and was assigned as the Community Affairs Officer until his death."
Between East 163rd Street and Westchester Avenue,Simpson Street,Bronx,Police Officer Deon L. Taylor Way," Police Officer Deon Taylor (d. 2008) joined the NYPD in 2005, working first in the Transit Bureau and then the narcotics team. He was killed while serving his second military tour with the US Army in Afghanistan.  "
Southwest corner of East Mosholu Parkway North and Webster Avenue,None,Bronx,Police Officer Eric Hernandez Memorial Corner," Police Officer Eric Hernandez (1981-2006) was off-duty when he was assaulted by six men at a White Castle restaurant.  He was able to subdue one suspect. However, when police arrived on the scene Hernandez was mistakenly shot by another officer while pointing his gun at the suspect."
A PG on Lafayette Ave. and Turnbull Ave. Between Olmstead (?) Avenue and Castle Hill Avenue,Castle Hill Playground,Bronx,Police Officer Hilario Serrano Playground," As an auxiliary police officer, Hilario (Larry) Serrano (1962-1992) received a medal of honor for helping a woman who had been raped and stabbed.  He became a police officer in 1986 and was assigned to the 43rd Pct.  In January 1992, while off duty, he was shot and killed in a mugging attempt. "
Between Park Avenue and Washington Avenue,Cross Bronx Expressway,Bronx,Police Officer Jill Garcia Place," Police Officer Jill Garcia (1975-2009), assigned to the 48th Precinct, worked on patrol and as part of the Domestic Violence Unit.  In March 2009, she was diagnosed with a rare form of cancer and died later that year.  Jill used her bilingual talents in particular to help those most vulnerable to domestic violence, immigrant women. "
At the intersection of East 147th Street and Southern Boulevard,None,Bronx,Police Officer Kenneth Mahon Place," Officer Kenneth Mahon, a Vietnam veteran, joined the NYPD in 1968.  He was he was decorated by the department 36 times, had over 259 arrests and disarmed about 50 people.  He was killed in the line of duty in 1974 while trying to apprehend a robbery suspect."
At the intersection of Grand Concourse and East 183rd Street,None,Bronx,Police Officer Kevin Joseph Gillespie Way," 
Officer Kevin Gillespie had served with the NYPD for 4 years and was assigned to the Special Operations Division Street Crime Unit.  On March 14, 1996, OfficerGillespie was shot and killed by a man he had just pulled over. He and his partner had stopped a BMW which had been car-jacked earlier in the evening. As the two were approaching the vehicle, the men inside opened fire. One bullet struck Officer Gillespie in the shoulder, above his vest. The bullet went straight down his torso striking many organs. (Torres)
"
Corner of City Island Avenue and Carroll Street,None,Bronx,Police Officer Pasquale Venturelli Corner," Pasquale Venturelli (1911-1943) enjoyed hunting, archery and boating.  He had a Boston Whaler and used to fish off City Island.  He joined the NYC Police department in 1938 and lived the job like a true professional.  His life was cut short on a snowy day in 1943, after just 5 years on the job."
"The triangle bounded bounded by Jerome Avenue, Gerard Avenue and East 169th Street.",East 169th Street,Bronx,Police Officer Sean A. McDonald Memorial Plaza," Sean A. McDonald  joined the NYPD in 1992 and was assigned to the 44th Precinct.  On the evening of March 15, 1994, he was mortally wounded while attempting to arrest two robbers he saw running from a store.  He was 26 years old.  He was the first uniformed officer of the 44th Precinct to be killed in the line of duty since the establishment of the Precinct in 1888."
Between Kingsbridge Avenue and Broadway.,West 236th Street,Bronx,Police Officer Vincent Giudice Place," Vincent Giudice, born in 1965, joined the NYPD in 1992 and was assigned to the 50th Precinct.  On May 21, 1996, he and his partner responded to a domestic dispute call where, attempted to protect a woman apparantly being attacked.  I a struggle with the suspect P.O. Giudice was fatally injured and diedthe next day.  In his honor, the NYPD has created The Vincent Giudice Memorial Award for the Prevention of  Domestic Violence."""
between East 223rd Street and East 233rd Street,White Plains Road,Bronx,Police Officer Walter E. Weaver Way," Police Officer Walter E. Weaver (b. 1971) died on September 11, 2001 during fire and rescue operations following the terrorist attack on the World Trade Center."
Intersection of the Hutchinson River Parkway and East Tremont Avenue,None,Bronx,Port Authority Police Officer Dominick Pezzulo Triangle," Port Authority Police Officer Dominick Pezzulo (1965-2011), a Throgs Neck resident, volunteered to assist in the rescue effort at the World Trade Center on 9/11.  He perished while attempting to rescue a colleague in the South Tower.  "
At the intersection of Willis Avenue and East 135th Street,None,Bronx,Private First Class Carlos James Lozada Place," Carlos James Lozada was born in Puerto Rico and later settled in the Bronx.  He joined the United States Army, was sent to Vietnam and was assigned to Co. A, 2nd Battalion, 503 Infantry, 173rd Airborne Brigade in 1967.  He was posthumously awarded the Medal of Honor in December 1969, for distinguishing himself in the Battle of Dak To where he was killed in combat.   (Arroyo)"
Between Metropolitan Oval and Starling Avenue,Unionport Road,Bronx,PV2 Isaac T. Cortes Way," Private Isaac T. Cortes, a Parkchester resident, received multiple and awards and decorations during his Army service, including the Bronze Star.  He was killed on November 27, 2007 when an explosive device detonated in Amerli, Iraq, just north of Baghdad."
Betwern East Tremont Avenue and East 178th Street.,Southern Boulevard,Bronx,Ochenta y Siete Boulevard.," Commemorates the 87 people who died in the deadly fire at the Happy Land Social Club on March 26, 1990.  It was deliberately set by Julio Gonazalez after a quarrel with his girlfriend, a club employee.  The dead ranged in age from 14 to 51.  Most were immigrants from Honduras.  Gonzales was convicted of the what, at that time, was the worst mass slaying in US history and sentenced to 25 years to life in prison. "
Between Vireo Avenue and Webster Avenue,East 234th Street,Bronx,Orio J. Palmer Way," Firefighter Orio J. Palmer (b. 1956) was killed during fire and rescue operations at the World Trade Center following the terrorist attack of September 11, 2001."
At the intersection of East Fordham Road and Creston Avenue adjacent to Muller Triangle,None,Bronx,Oscar de la Renta Boulevard,"  Oscar de la Renta (1932-2014) was born in the Dominican Republic.  At 18 he studied painting in Madrid but later became famous as a fashion designer.  In 1961, while on vacation in Paris, he was hired at Lanvin-Castillo. Within two years, he had moved to New York and joined Elizabeth Arden. He began his own ready-to-wear label in 1965.   He was known for distinctly modern yet romantic looks.  His first perfume debuted in 1977.    By the late '90s and early 2000s, his work became the preferred wear of American first ladies.  He also started a furniture line.  Known as a patron of the arts, he served on the boards of The Metropolitan Opera, Carnegie Hall and Channel Thirteen/WNET; and supported several other cultural institutions, including New Yorkers for Children, the Americas Society and the Spanish Institute. (Cabrera)"
Intersection of Sedgwick Avenue and Fordham Road,None,Bronx,Ozzie Brown Triangle," Ozzie Brown (1944-2011) had a distinguished career in films and music. As Chair of the Community Board 7 Land Use and Re-Zoning Committee, he was instrumental in the rezoning of Webster Avenue and the redevelopment of the Kingsbridge Armory.  "
Intersection of East 139th Street and Brook Avenue,None,Bronx,Naiesha (Nana) Pearson Place," Naiesha (Nana) Pearson was killed at her neighborhood’s end-of-summer barbeque when two men got into an argument and a gun was fired. Her death led to the creation of the Walk Against Gun Violence rally, now an annual event in the South Bronx."
At the southwest corner of Belmont Avenue and East 187th ,None,Bronx,Natale “Nat” Cerini Corner," Natale “Nat” Cerini was an immigrant from Rome, Italy.  At 17, he opened the Roma Luncheonette, where he also helped local immigrants in filling out immigration documents.  In 1977, he started Cerini Income Tax and later purchased the 17-family apartment building located at 2328 Hughes Ave.  In the early 1970's he was a coach for a local soccer organization and went on to start the Arcobaleno Soccer Club.  In 1983, he became the president of the Italian American Federation of the Bronx and lower Westchester.  In the late 1970's he was instrumental in constructing the Enrico Fermi Cultural Center, located in the Belmont Library, which has served the area since 1981. (Rivera) "
Between Prospect Avenue and Union Avenue,Jennings Street,Bronx,The Chords-Hit Record “Sh-Boom” 1954," The Chords, formed in 1951 in the Bronx, consisted of Carl and Claude Feaster, Jimmy Keyes, Floyd “Buddy” McRae and Ricky Edwards.  Their 1954 recording of  “Sh-Boom” was a United States top ten hit.  "
Corner of Walton Avenue and 177th Street,None,Bronx,The Leona Clardy Way," Ms. Clardy (1921-2004) was a life-long resident of the Bronx and was always committed and dedicated to improving the community.  She was a soft spoken lady who loved children, who was a drum major for better neighborhood services."
in its entirety,Bartow Avenue,Bronx,"The Reverend Martin Luther King, Jr. Avenue"," This designation honors the famed civil rights leader (b. 1929) who organized the Montgomery Bus Boycott, led the 1963 March on Washington, and was assassinated on April 4, 1968.  The designation applies to the entire length of Bartow Avenue.  "
Between Webster Avenue and Third Avenue,East 170th Street,Bronx,Thelma Boyd Boulevard," Thelma Boyd (d. 2005) moved to Morris Houses in 1953 and was a tenant advocate for over 50 years, particularly for residents of Claremont Village.  "
East 233rd Street and Burke Avenue,Baychester Avenue,Bronx,Thomas E. Brown Avenue," Thomas E. Brown (1921-1998), who taught instrumental music for 30 years in New York City schools, was a leader in the Baychester community, combating problems such as flooding, prostitution, rat infestation, and unwanted building developments. He also distributed surplus food to needy families and helped youths find summer jobs. "
Between Oakland Place and East 180th Street,Clinton Avenue,Bronx,Thomas L. Guess Place," Thomas L. Guess was a the founder of The Tremont Community Senior Citizen Center, Inc. which is regarded as one of the most outstanding and progressive senior centers in the City of New York.  "
Between Dewey Avenue and the Cross Bronx Expressway,Hollywood Avenue,Bronx,Throgs Neck Expressway," For over 40 years the owners of 485 and 489 Throgs Neck Expressway believed this was their legal address.  A street sign at the corner read Throgs Neck Expressway, but when the sign fell, the Department of Transportation advised the owners that they actually lived in Hollywood Avenue.  Since these residents have long used Throgs Neck Expressway as their address, this stretch of  Hollywood Avenue was co-named accordingly."
Intersection of West 231st Street and Kingsbridge Avenue,None,Bronx,Timothy R. Sullivan Square," Timothy R. Sullivan, a community activist in the Kingsbridge section of the Bronx, organized many tenant and block associations.  His expertise in the field of housing enabled him to help thousands of people over a period of 20 years.  He taught himself Spanish so that he could help Spanish-speaking people who moved into the community.  In addition to work in tenants' rights, he was a member of Community Board 8 and served on the board of the Riverdale Mental Health Association.  He died on September 8, 1989."
Between Bruckner Boulevard and East Fordham Road,Southern Boulevard,Bronx,La 65 de Infantería," The US Army’s 65th   Regiment, based in Puerto Rico, fought with distinction in two World Wars, the Korean War and subsequent conflicts.  "
Between St. Ann's Avenue and Cypress Avenue,East 140th Street,Bronx,La Lupe Way," Cuban-born Victoria Lupe Yoli (1936?-1992) was “The Queen of Latin Soul Music”.  Her musical style, honed in New York City after she left Cuba in 1963, influenced the Afro-Caribbean music movement in the City.  She recorded 32 albums both as a soloist and in partnership with music legends such as Tito Puente and Mongo Santamaria.  She spent her final years as an ordained evangelical minister in the Bronx."
Intersection of East 187th Street and Park Avenue,None,Bronx,Lance Corporal Alberto Francesconi Place," Alberto Francesconi, born in 1987, was killed in action in Afghanistan on December 29, 2008."
At the intersection of Frisby Avenue and Benson Avenue,None,Bronx,Larry Lusk Way," Larry Lusk was the proprietor of a candy store,  known as L.M. Stationery, opposite P.S. 12.  For a generation, the store was an informal gathering spot for neighborhood residents, who discussed civic activities and neighborhood news.  From the 1940’s through to the late 1960’s, Mr. Lusk’s establishment was a focal point of community activity and a safe haven for local children."
East 179th Street and East 180th Street,Mohegan Avenue,Bronx,Laveria A. Ross Place," Laveria Alva Connor (1935-1997), a school crossing guard, was a foster parent with the Harlem Dowling Children’s Foster Home.  From 1982 until her death she cared for more than 250 foster children, many on an emergency basis, in addition to raising nine children of her own."
Between White Plains Road and Willett Avenue.,East 219th Street,Bronx,Laverne Turner Lane," Laverne Turner, born in 1931, was educated at Bronx Community College, the College of Mount St. Vincent and the College of New Rochelle.  She was  an educator at the Williamsbridge NAACP Day Care Center from 1974 until her death from a sudden illness.  She was active in community and civic activities including Community Board 12."
Between Earth 187th Street and East 189th Street,Crotona Avenue,Bronx,Leo Fracassi Way," Fire Lieutenant Leo Fracassi (1923-2002), a decorated veteran of World War II, was assigned to Ladder Company 38 on Belmont Avenue in 1963.  In 26 years there, he awarded more medals for bravery and was involved in more Unit Citations than anyone assigned to Engine Company 88 or Ladder Company 38. "
Intersection of Monroe Avenue and East 175th Street,None ,Bronx,Lieutenant Howard Carpluk Place," Lieutenant Howard Carpluk (1962-2006) was appointed to the NYFD in August of 1986 and was assigned to Ladder 31 and promoted to Lieutenant in February of 1999 and assigned to Engine 42 in January of 2002.  He was killed in the line of duty on August 27, 2006."
Between Vyse Avenue and Daly Avenue,East Tremont Avenue,Bronx,Lieutenant Patrick J. Sullivan Way, Lieutenant Patrick J. Sullivan was in command of NYFD’s Engine 45 on 9/11.  The NYFD determined that his death from leukemia in 2012 was caused by exposures during search and rescue and fire operations at Ground Zero. 
At the intersection of E 229th Street and Schieffelin Avenue.,None,Bronx,Lillie Mae Berry O'Gara Square," Ms. O'Gara (1928-1993) moved to Edenwald Houses in 1951 and in 1971 was elected President of the Edenwald Tenants Association.  A mother of 7, she was also President of the John Philip Sousa JHS Parent-Teachers Association.  She worked as a nurses aide and retired after 15 years from the Laconia Nursing Home.  Besides her own children, she cared for about 30 foster children. "
"Bounded by the east side of Westchester Avenue, Sands Place, and Wilkinson Avenue.",None,Bronx,Ralph Balsamo Place," Named in 1995 for the late Ralph Balsamo (b. 1932), who  was the owner of the Balsamo Funeral Home.  He took over the business when his father died suddenly in 1958, opened a location in the Bronx and later expanded with a branch in Harrison.  He was a respected member of many community, religious and fraternal organizations."
"Triangular area bounded by Hicks Street, Wilson Avenue, and East 215th Street.",None,Bronx,Ralph Hoist Triangle," Ralph Hoist was a community leader in Harlem and later in the Bronx.  A graduate of Stuyvesant HS, he served three years in the military during Word War II.  He was a founder of the Harlem Neighbors' Associatioan and in early 1955 organized the Colonial Houses Tenants' Association.  (Colonial Houses are now Ralph Rangel Houses).  After moving to the Bronx in 1970, he organized the 214th Street Block Association, now known as United Homeowners and Tenants Association, and served as its president.  He also founded a Boy Scout Troop, coached Litte League, and was  PTA president at both PS 156 and PS 78.  He died on October 17, 1990. "
Williamsbridge Road and Yates Avenue,Lydig Avenue,Bronx,Ray Cilento Place," Orazio “Ray” Cilento (1945-2000), an electrician, was for 38 years, as a member of New Yorks Central Labor Council, a dedicated volunteer in the interests of rank and file union members, as well as a Little League team manager and coach. "
"The intersection of E Gun Hill Rd, Allerton Ave, and Gunther Ave",None,Bronx,Raymond Locascio Sq," Raymond Locascio (1926-1994?), who had served on Iwo Jima in World War II,  was devoted to his community and especially to youth sports.  A father of three children, he founded the Astor Little League and was active in it for 35 years.  He was also a member of Community Board 11 and chairman of its Youth Committee.  Politically active, he served as an aide to a number of public officials including Congressman Thomas J. Manton"
Between Sagamore Street and Bronxdale Avenue.,Cruger Avenue,Bronx,Regis Philbin Avenue, Regis Philbin (b. 1931) lived with his family in the 1900 block of Cruger Avenue from the age of 4 until he went off to college at Notre Dame.  He attended grade school at our Lady of Solace and worked at Max's Candy Store when he was 13.  This 1992 naming marked Regis Philbin's 30th anniversary in show business.   
Between Trinity Avenue and Reverend James A. Polite Avenue.,East 163rd Street,Bronx,Reola Belfield Way," Reola Belfield was born in North Carolina in 1931.  In 1985, after raising seven children, she earned a BA from the College of New Rochelle, where she was class valedictorian.  Six years later she received an MA in early childhood education and became a teacher.  She was Treasurer of Community Board 3 and chair of its Budget and Finance Committee.  She also held responsible positions in her church, her sorority and other community organizations; and was a soloist with several choirs and other musical groups.  She died in 1997 at age 65."
At the intersection of East 180th Street and Arthur Avenue,None,Bronx,Rev. Abner Bernard Duncan Way," 
Rev. Abner Bernard Duncan (1921-2011) opened the First Glorious Church in 1953 with a congregation of 3 people.  Over the years the congregation grew to 250 people.  The church serves as a work site for the Summer Youth Employment Program and holds summer school programs.  Rev. Duncan is remembered for his work to end gun violence, counseling the families of victims and holding vigils at the sites of shootings.  He was always helpful during emergencies, including the infamous Happy Land Fire in 1990 , which took 87 lives.  After several pedestrians were hit by vehicles on Loring Place in the Bronx, he organized rallies calling on the Department of Transportation to install stop signs.  The campaign was successful and the intersection is now safer. (Torres)
"
East 168th Street and East 170th Street,Findlay Avenue,Bronx,Rev. Charles Britt Way, Reverend Charles Britt (1908-1991) founded the Greater Zion Baptist Church in 1956.  Under his leadership the congregation acquired the current church building at 1271 Findlay Avenue. 
Between Boston Avenue and Caldwell Avenue,East 164th Street,Bronx,Rev. Dr. Herbert A. Bente Way," Rev. Dr. Bente (1896-1978) was the pastor of Grace Gospel Church, at 589 East 164th Street, from 1932 until his death.  He was a leader of the Bronx Council of Churches and the New York City Council of Churches, and a former president of the Greater New York Ministers Association. "
At the northernmost intersection of 163rd Street and Rev. James Polite Avenue,None,Bronx,"Rev. Dr. Shellie Sampson, Jr. Way"," Rev. Dr. Shellie Sampson, Jr. (1940-2014) a clergyman, educator, author an civic leader.  A graduate of Rutgers University, he earmed doctorates in both Theology and Urban Studies.  He worked in industry as a chemist and microbiologist before entering the ministry in 1970 as pastor of New Calvary Baptist Church in Montclair, N.J.  In 1982 he became pastor of Thessalonia Baptist Church, which he served more than 30 years.  In addition to expending that church's programs and facilities, he was instrumental in securing new schools and housing in the South Bronx.    (Arroyo)"
West 228th Street and the north side of West 230th Street,Marble Hill Avenue,Bronx,Rev. Dr. William A. Tieck Way," William A. Tieck (1909-1997) was pastor of St. Stephen's United Methodist Church from 1946 to 1977, when he reached mandatory retirement age. Unwilling to stay retired, he become pastor of the Edgehill Church, where he served until 1997. Among his many community activities, Rev. Tieck was the official Historian of Bronx County from 1989 to 1996. (RGPR)"
Between Morris Avenue and Melrose Avenue,East 156th Street,Bronx,Rev. Grady H. Donald Boulevard," Rev. Grady H. Donald (1929-2002) was a civil rights activist and pastor of Victory Baptist Church.  He was an active member of such organizations as Bronx Shepherds Restoration Corporation, the Bronx Clergy Coalition and the Council of Churches in New York City."
Between Brook Avenue and St. Ann's Avenue,137th Street,Bronx,Linda Ballou Way," Linda Ballou (1949-2007) was a board member of Bronx-Lebanon Hospital Department of Mental Health Services and was president of the Resident Association at Millbrook Houses, where she implemented an SAT prep program and a food pantry."
Intersection of Givan Avenue and Fish Avenue,None,Bronx,Linton J. Cummings Square," Linton Cummings (1926-1996), while still studying for his degree in accounting, set up the accounting system for the new Higher Education Development Fund (HEDF), established to help school dropouts get further education and employment. As a result of his work he was named vice president of HEDF in 1972 and two years later became its president.  . "
At the intersection of West 174th Street and Davidson Avenue,None,Bronx,Loretta Ruddock Smith Way," Loretta Ruddock Smith was a community leader in Morris Heights, active on issues including housing, education, youth services, and public safety.  She was a member of  Bronx School Board Nine and board member of the Mt. Hope Housing Company, Inc.  She supported Bronx Community Board Five and the 46th Precinct Community Council.  As a member of the Charity Baptist Church of Christ in the Bronx for 42 years, she served  in various leadershp roles including as Treasurer of the Board of Trustees.  (Cabrera)"
Between Astor Avenue and Pelham Parkway North,Mickle Avenue,Bronx,Louis Salvati Way," Louis Salvati (1922-2010), as president of the Chester Civic Improvement Association, led a successful campaign to improve street safety and traffic flow following the approval of a large commercial development.  ."
Northeast corner of Maclay Avenue and Seddon Street,None,Bronx,Louis Tuzzio Corner," Louis John Tuzzio (1911-1999), a weaver and later a hospital worker, moved to 2440 Maclay Avenue in 1959.  He remained for the next 40 years.  and came to be called The Mayor of Maclay. His daily routine included shopping at local stores for neighbors who were housebound.  "
Between West 261st Street and West 263rd Street,Delafield Avenue,Bronx,Lt. Thomas O’Hagan Way," Fire Lieutenant Thomas O’Hagan (b. 1958) was killed at the World Trade Center during fire and rescue operations following the terrorist attack of September 11, 2001. "
At the intersection of Kingsbridge Road and Jerome Avenue,None,Bronx,Luis Muñoz Marín Way," Luis Muñoz Marín (1898-1980) was a Puerto Rican poet, journalist, politician and statesman who was considered the “Architect of the Commonwealth.”   He helped found the Popular Democratic Party of Puerto Rico which won a majority in the Senate of Puerto Rico with Muñoz Marín serving as the president.  He  got Puerto Rico included in New Deal programs and Operation Boot Strap.  These improved the standard of living of many living on the island.  As Governor, he worked closely with the United States to create Puerto Rico’s Constitution and to change its status to that of a commonwealth. (Cabrera)"
Corner of Minerva Place and Grand Concourse,None,Bronx,Luke Nee 9-11-01," Luke Nee (1957-2001) grew up on Minerva Place and attended Cardinal Hayes High School. An employee of Cantor Fitzgerald,  he was killed in the attack on the World Trade Center on September 11, 2001."
